normalized_date,Administered,textblob_agg_sentiment,nltk_agg_sentiment,Vader_agg_sentiment
9/14/2021,193018779,804000.3368,-2420559,1829945
9/15/2021,193369449,922541.0503,-2545853.4,1742715
9/16/2021,193682156,1492496.53,-1240308.4,3430392
9/17/2021,194020349,2020565.746,-6792375,831900
9/18/2021,194359833,2594434.764,-3332583.6,-795498
