,Administered,textblob_agg_sentiment,nltk_agg_sentiment,Vader_agg_sentiment
1/15/2021,27291672,926479.0521,-3339600,2094840
1/16/2021,29717126,,,
1/17/2021,31522857,,,
1/18/2021,32660620,,,
1/19/2021,34010489,459473.7561,-1773648,1090224
1/20/2021,34958794,808870.2154,-2501445,1826926
1/21/2021,37181929,803741.3044,-2417655,1726540
1/22/2021,40505202,1165271.858,-4242392,2686640
1/23/2021,43513650,810208.3905,-2912019,1853577
1/24/2021,46264328,442761.055,-1834880,673440
1/25/2021,48182973,1133927.243,-4409856,2342736
1/26/2021,49807818,1106060.759,-4816695,2479620
1/27/2021,52210108,1338109.088,-5298528,2744856
1/28/2021,55489498,1700467.533,-7151463,3378078
1/29/2021,59083588,2207525.121,-8063048,4396854
1/30/2021,62661235,1016195.877,-4518523,1709544
1/31/2021,65930316,886167.2721,-3809520,1464320
2/1/2021,68193583,1492664.878,-6426504,3269232
2/2/2021,69413180,691065.1096,-2613765,1440582
2/3/2021,71778915,709573.2858,-2783024,1413796
2/4/2021,74617447,657585.1959,-2140728,1441668
2/5/2021,78058057,619248.938,-2400411,1215669
2/6/2021,82704890,529459.1555,-1757367,1133577
2/7/2021,87261018,324021.06,-1300915,615505
2/8/2021,89781717,382165.4229,-1912671,907164
2/9/2021,91427604,504846.3829,-2085444,1123604
2/10/2021,94716439,743871.8262,-2546675,1660669
2/11/2021,98129315,863616.34,-3273795,1999285
2/12/2021,102328901,600008.5999,-1893045,1484040
2/13/2021,106950859,459476.6438,-1230456,963366
2/14/2021,111591583,271985.7,-719532,503388
2/15/2021,114435230,342456.7026,-1146288,801372
2/16/2021,116409270,364089.1488,-1382840,943010
2/17/2021,118633995,386251.1741,-1316592,872376
2/18/2021,121657530,471237.8544,-1675872,975568
2/19/2021,128297630,724014.7675,-2278124,1850084
2/20/2021,131885653,333131.1027,-1182951,648660
2/21/2021,135691281,295452.7698,-1209920,611328
2/22/2021,137991019,404511.2442,-1819176,770568
2/23/2021,139810631,375197.1528,-1453035,934755
2/24/2021,142834211,601959.9776,-1923261,1552644
2/25/2021,146626410,206710.6214,-822255,494690
2/26/2021,151190581,260149.6514,-795984,647458
2/27/2021,156168122,194851.8411,-789873,504533
2/28/2021,161204716,182601.3722,-664560,447300
3/1/2021,164644520,,,
3/2/2021,168158060,,,
3/3/2021,172091102,,,
3/4/2021,176290956,455098.1117,-1728763,980347
3/5/2021,181305751,,,
3/6/2021,187265421,,,
3/7/2021,192285341,,,
3/8/2021,195848093,,,
3/9/2021,199160110,,,
3/10/2021,203336007,,,
3/11/2021,208437508,19597.80712,-72384,52416
3/12/2021,214427848,2221754.026,-7831895,4712154
3/13/2021,223812784,,,
3/14/2021,226547859,,,
3/15/2021,230728466,,,
3/16/2021,234079842,,,
3/17/2021,238780518,,,
3/18/2021,244297330,863568.7196,-2656300,1812070
3/19/2021,249582189,2217160.09,-8056405,4623493
3/20/2021,255952591,429545.6619,-1801128,906528
3/21/2021,262157192,182531.2682,-1025024,460416
3/22/2021,266288288,518029.3597,-2304260,1270514
3/23/2021,269722005,974923.0011,-4387081,2321642
3/24/2021,274314227,1186608.719,-4592328,2587182
3/25/2021,280063437,1450765.483,-5732148,3116988
3/26/2021,286961402,,,
3/27/2021,294070895,,,
3/28/2021,300762295,,,
3/29/2021,305530367,,,
3/30/2021,309121935,,,
3/31/2021,314557736,,,
4/1/2021,321381014,,,
4/2/2021,329428906,,,
4/3/2021,337697137,,,
4/4/2021,344534065,,,
4/5/2021,348835528,,,
4/6/2021,351677392,,,
4/7/2021,357522867,858731.2971,-3794499,1783161
4/8/2021,364404792,795312.1974,-4327440,1585740
4/9/2021,372404496,957152.412,-4530177,1696902
4/10/2021,381780588,253990.9263,-1340568,520128
4/11/2021,389035360,71138.564,-463845,106641
4/12/2021,394383158,581653.8606,-2811603,1323827
4/13/2021,399581255,,,
4/14/2021,404680983,,,
4/15/2021,411808985,,,
4/16/2021,419819504,,,
4/17/2021,427082242,,,
4/18/2021,434238347,,,
4/19/2021,438634220,,,
4/20/2021,442255867,29113.14319,-138320,78204
4/21/2021,447443801,552628.7181,-2436783,1396665
4/22/2021,453502997,502914.6059,-2102625,1181475
4/23/2021,460318300,466.3428467,-2800,0
4/24/2021,467028480,1.4,0,4
4/25/2021,473143258,5071.162027,-27500,5750
4/26/2021,477377856,511348.8719,-1647525,1092359
4/27/2021,480661468,612937.6471,-2465824,1697096
4/28/2021,485175761,,,
4/29/2021,490676060,,,
4/30/2021,496326898,,,
5/1/2021,502980017,,,
5/2/2021,507291071,,,
